customer_id,clv_estimate,clv_estimate_hdi_3%,clv_estimate_hdi_97%,monetary_value
12347,18500.857,18304.31,18711.446,599.7016666666667
12348,6245.463,6163.388,6335.109,301.48
12349,8125.193,7816.464,8401.755,0.0
12350,1921.396,1847.048,1998.157,0.0
12352,8619.489,8458.803,8793.353,221.756
12353,2658.12,2556.99,2759.617,0.0
12354,2413.655,2320.659,2506.455,0.0
12355,2565.325,2467.412,2663.57,0.0
12356,4865.193,4766.441,4957.868,269.90500000000003
12357,6969.102,6710.907,7206.544,0.0
12358,9284.349,8978.874,9556.241,683.2
12359,29691.627,28490.697,30774.095,1931.7266666666667
12360,14116.784,13714.204,14525.426,789.24
12361,2044.339,1966.036,2125.703,0.0
12362,28512.739,28302.977,28737.681,522.031111111111
12363,4198.668,4094.719,4302.473,252.9
12364,12357.716,12054.421,12650.667,229.7266666666667
12365,2021.84,1944.254,2102.364,0.0
12367,9613.809,9248.866,9960.31,0.0
12370,10830.92,10625.615,11035.729,651.6233333333333
12371,11455.022,11219.65,11702.083,360.0
12372,7042.192,6942.965,7146.343,449.41
12373,1916.386,1842.201,1992.958,0.0
12374,7541.371,7260.551,7800.502,0.0
12375,7484.904,7269.391,7683.892,227.20000000000002
12377,4612.901,4484.005,4749.639,626.6
12378,3647.758,3513.477,3782.597,0.0
12379,6441.747,6316.902,6564.95,392.4
12380,19391.057,18968.337,19794.142,705.7533333333332
12381,10996.313,10550.533,11407.887,144.14249999999998
12383,8030.235,7944.102,8120.517,312.46
12384,7180.102,7024.293,7332.026,292.58000000000004
12386,2577.056,2477.048,2680.007,143.0
12388,14074.729,13952.525,14195.626,469.872
12390,4852.112,4671.631,5022.933,0.0
12391,7864.268,7570.631,8134.285,0.0
12393,7659.865,7574.657,7732.754,373.3666666666666
12394,8380.586,8057.465,8725.935,891.4
12395,14422.749,14291.752,14556.996,265.768
12397,14227.937,13510.232,14924.199,1195.09
12398,6256.924,6029.209,6476.028,0.0
12399,7584.396,7462.702,7717.254,273.53333333333336
12401,1957.219,1881.709,2035.325,0.0
12402,1858.233,1784.715,1931.011,0.0
12403,6050.817,5831.597,6262.077,0.0
12405,3333.36,3210.432,3458.991,0.0
12406,15614.028,14605.086,16530.103,1794.05
12407,11466.011,11369.621,11573.431,370.455
12408,14637.77,14336.209,14926.897,683.6533333333333
12409,36541.587,33435.271,39427.278,4860.64
12410,1931.497,1856.82,2008.637,0.0
12412,9324.423,9196.414,9457.807,356.19
12413,3549.071,3399.77,3707.819,139.425
12414,4424.291,4297.575,4557.658,204.325
12415,585005.443,577253.717,593870.855,8363.164285714285
12417,17949.154,17853.51,18054.831,417.22625
12418,3983.97,3836.265,4128.763,0.0
12420,5425.328,5231.468,5619.171,0.0
12421,5630.952,5496.852,5775.961,216.53
12422,4994.707,4906.29,5088.892,282.53
12423,9937.542,9791.789,10091.655,230.16857142857143
12424,3134.307,3017.483,3252.15,0.0
12425,4884.366,4707.095,5060.186,0.0
12426,2757.881,2653.487,2862.849,0.0
12427,4036.698,3938.503,4141.057,230.91
12428,19471.882,19308.754,19650.521,497.8733333333334
12429,12939.389,12633.726,13260.56,822.9666666666667
12430,6365.336,6133.039,6587.312,0.0
12431,30010.289,29875.708,30178.425,466.4030769230769
12432,16970.407,16455.577,17524.18,871.33
12433,52673.872,51081.579,54050.969,2291.346
12434,5361.812,5240.215,5494.043,519.89
12435,22241.158,20460.436,23947.961,3850.9
12436,4286.066,4127.715,4441.12,0.0
12437,25322.217,25187.893,25467.303,321.7114285714286
12438,20589.582,19221.885,21880.232,2016.78
12441,1675.992,1609.273,1742.008,0.0
12442,9741.295,9369.944,10092.649,0.0
12444,28993.313,28377.899,29560.822,783.8149999999999
12445,7780.978,7492.047,8049.191,0.0
12446,5676.824,5470.979,5877.275,0.0
12447,2329.489,2239.95,2420.02,0.0
12448,6310.665,6080.723,6531.196,0.0
12449,27230.356,26431.651,28056.477,1069.4533333333334
12450,4272.129,4076.688,4487.784,96.0
12451,32359.749,31405.999,33302.206,1529.0025
12452,8308.982,8008.658,8607.38,0.0
12453,3559.411,3427.933,3691.319,0.0
12455,6885.736,6667.075,7104.53,156.592
12456,15517.765,14925.634,16088.943,1120.435
12457,8868.475,8754.618,8983.627,314.4266666666667
12458,4930.811,4820.066,5048.086,505.48
12461,5425.842,5250.367,5583.235,200.0
12462,4321.599,4232.177,4407.031,427.48
12463,9000.623,8888.994,9110.033,324.80333333333334
12464,7828.45,7613.503,8039.547,166.35833333333332
12465,5814.846,5688.921,5931.687,301.25
12468,4540.035,4431.261,4643.485,508.95000000000005
12471,83711.752,83135.863,84358.879,911.117894736842
12472,24106.383,23742.621,24480.477,811.285
12473,18955.723,18273.768,19683.784,1100.92
12474,37711.85,37571.893,37919.272,431.17125
12475,5857.856,5646.528,6063.38,0.0
12476,34737.436,34320.908,35164.283,769.69875
12477,59252.431,57621.939,60916.409,2155.118
12478,9741.295,9369.944,10092.649,0.0
12479,8807.022,8484.486,9127.066,0.0
12480,13841.663,13497.913,14168.456,821.7933333333334
12481,27085.7,26732.0,27449.111,776.7057142857144
12483,10963.841,10848.714,11069.063,294.82
12484,18787.771,18510.622,19060.575,680.61
12488,15679.793,15439.827,15949.443,372.635
12489,1799.09,1727.667,1869.683,0.0
12490,25374.06,25209.435,25565.752,505.96777777777777
12491,6653.548,6408.727,6883.007,0.0
12492,6307.729,6058.777,6571.872,136.82
12493,4567.835,4434.881,4712.483,201.24
12494,7126.124,6988.594,7277.759,215.78000000000003
12497,4788.867,4612.321,4959.372,0.0
12498,8909.486,8576.454,9260.39,156.45
12500,21350.383,21242.837,21480.776,421.4422222222222
12501,1799.09,1727.667,1869.683,0.0
12502,18359.101,18013.037,18723.168,776.655
12504,7173.225,6914.966,7427.15,0.0
12506,2413.655,2320.659,2506.455,0.0
12507,6176.556,5944.125,6399.893,811.9
12508,10799.44,10314.785,11292.626,123.08
12509,2061.545,1982.696,2143.55,0.0
12510,3533.654,3459.993,3610.143,301.52
12512,5307.756,5118.091,5497.079,0.0
12513,3983.97,3836.265,4128.763,0.0
12514,2164.788,2082.316,2250.626,0.0
12515,1727.203,1658.681,1795.127,0.0
12516,8494.121,8208.323,8772.229,728.86
12517,16117.934,15849.338,16378.664,572.0300000000001
12518,23798.396,23546.726,24142.063,433.015
12519,5425.328,5231.468,5619.171,0.0
12520,11949.057,11849.59,12056.648,405.335
12521,3426.624,3299.352,3554.173,0.0
12522,8597.356,8195.728,9014.074,103.32
12523,10808.543,10580.807,11031.665,164.932
12524,22892.424,22675.334,23129.272,592.6185714285714
12526,14455.07,14240.65,14685.275,398.17999999999995
12527,3365.932,3182.217,3533.09,108.09500000000003
12528,9949.647,9827.116,10062.032,287.99
12530,8124.975,8044.205,8212.49,412.07666666666665
12531,8501.28,8192.677,8809.301,0.0
12532,7173.225,6914.966,7427.15,0.0
12534,3629.74,3496.029,3763.993,0.0
12535,5724.739,5610.8,5834.967,344.9
12536,116331.678,105779.411,126316.564,8322.12
12538,7243.95,6976.9,7494.882,0.0
12539,20443.186,19744.088,21082.349,1284.1666666666667
12540,61300.2,60876.64,61792.32,780.858125
12541,6160.121,6069.893,6244.544,334.39
12544,6776.276,6525.744,7008.146,0.0
12545,4606.722,4513.02,4690.866,372.24
12546,10553.695,10346.861,10775.875,401.3
12547,2741.362,2587.787,2912.561,48.4
12548,3081.729,2966.004,3197.159,0.0
12550,4852.112,4671.631,5022.933,0.0
12551,1711.116,1643.19,1778.441,0.0
12552,9782.355,9352.083,10236.375,120.0
12553,17345.531,17245.379,17448.912,370.73375
12556,6202.361,6066.416,6333.216,290.81
12557,51870.764,49964.461,53575.318,2842.7400000000002
12559,2588.334,2455.931,2728.969,75.60000000000001
12560,11554.971,11399.562,11728.91,420.85
12561,1962.446,1886.767,2040.748,0.0
12562,28147.802,27817.527,28455.163,556.13
12564,2203.741,2119.724,2290.796,0.0
12565,2038.668,1960.545,2119.82,0.0
12566,4637.739,4472.314,4809.215,0.0
12567,34021.337,33520.111,34602.314,1004.0542857142856
12569,24921.024,24555.801,25278.679,136.6404
12571,6989.279,6831.93,7151.027,271.26
12572,13988.344,13664.872,14324.351,487.68
12573,2453.956,2359.765,2548.273,0.0
12574,1896.601,1821.513,1970.793,0.0
12576,8021.936,7893.932,8149.758,262.245
12577,3898.844,3815.851,3982.391,461.91
12578,7294.25,6923.223,7650.228,1185.85
12579,4884.366,4707.095,5060.186,0.0
12580,2307.544,2220.197,2398.637,0.0
12581,6593.836,6351.448,6820.731,0.0
12582,3918.741,3839.451,4003.3,306.2
12583,31197.013,31069.367,31363.981,450.7628571428572
12584,11716.013,11528.558,11908.298,223.10285714285715
12585,5261.747,5070.889,5443.562,777.25
12586,8216.059,7919.713,8512.083,0.0
12587,9250.621,8894.984,9571.918,0.0
12588,6593.836,6351.448,6820.731,0.0
12589,8197.705,8008.947,8388.834,515.18
12590,2592.476,2493.019,2691.106,0.0
12591,1886.861,1812.173,1960.695,0.0
12592,4339.552,4212.047,4471.297,205.8
12593,4389.736,4133.292,4637.494,91.05
12594,17720.955,17623.324,17832.247,372.40250000000003
12596,4724.075,4628.722,4813.247,348.32
12597,20474.11,19885.164,21079.144,1052.8566666666666
12598,15502.084,15394.87,15610.411,380.30333333333334
12599,7052.488,6812.092,7289.921,138.45333333333335
12600,13351.336,13222.029,13475.806,270.28222222222223
12601,4516.777,4298.736,4742.875,108.19999999999999
12602,5633.301,5436.947,5840.598,0.0
12603,7864.268,7570.631,8134.285,0.0
12604,3039.26,2885.843,3205.629,75.68
12609,6362.929,6278.325,6452.293,419.46
12610,15980.432,15727.659,16231.651,281.8225
12611,5904.933,5691.685,6111.762,0.0
12612,5017.785,4837.396,5198.572,0.0
12613,16277.099,15613.468,16904.382,1223.11
12614,2102.84,2022.312,2186.17,0.0
12615,17121.468,16845.342,17390.066,552.15
12616,4533.388,4437.359,4628.412,457.7
